art,t,bpm,g,ln,s
Masayoshi Minoshima feat. Ayakura Mei,Lionheart,132,2,3,1142369
Bring Me The Horizon,Can You Feel My Heart (Cut Ver.),128,11,2,1857120
yuki. feat. setsunan,Hello! World,170,10,5,785650
Stonebank,Who's Got Your Love,170,10,5,496549
Itou Kanako,Hacking to the Gate (TV Size),161,3,3,840945
Hatsune Miku,Yellow,127,2,3,17624
Demetori,Seijouki no Pierrot ~ The MadPiero Laughs,191,2,5,1272026
Helblinde,Above the Clouds,180,10,5,501962
Y&Co. feat. Karin,Sweet Rain,155,2,3,738169
Kuroneko Dungeon,Lilieze to Enryuu Laevateinn,200,2,5,415827
ClariS,Songs Compilation,90,5,3,99506
Stonebank,Stronger (feat. EMEL),170,10,5,273711
nanobii,Rainbow Road,170,10,5,1234892
DJ TOTTO feat. Enako,Precious * Star,178,2,3,776495
yanaginagi,over and over (TV Size),183,3,3,698454
ICHIKO,First Kiss (TV Size),156,3,3,33639
Little Glee Monster,OVER (TV Size),180,3,3,1211978
Shintani Ryo,Neko Atsume no Theme,125,2,5,1230784
soutaiseiriron,Shikaku Kakumei (Cut Ver.),160,5,3,1464135
xi,Happy End of the World,190,10,5,755294
TSUNKU,Shugyou no Thema,189,2,5,940261
Victorious Cast,Take a Hint feat. Victoria Justice & Elizabeth Gillies (Speed Up Ver.),164.08,5,2,984684
ZUN & Ryu*,Second Darkside,149,2,5,24304
nano.RIPE,Real World (TV ver.),196,3,3,348412
Lolipusher,"why as soon as we become so close, we have to say goodbye?",200,10,5,1135515
DJVI,Can't Let Go,170,2,5,335813
Shawn Mendes,Stitches,150,5,2,354163
ACE (TOMOri Kudo / CHiCO),Beneath the Mask,118,2,2,978534
Roses Epicurean,Nightmare -Overture-,115,6,5,461525
Reol,Streaming Heart,210,4,3,339335
Rostik,Liquid (Paul Rosenthal Remix),133,10,5,123593
IOSYS,Miracle Hinacle (Cut Ver.),160,2,3,1502676
Bring Me The Horizon,in the dark,156,4,2,1112696
Eisyo-kobu,Oriental Blossom,180,2,5,727539
tomspicy,fieryrage accordion (hardcore remix),182,10,5,1921382
DZIDZIO,Yalta,128,7,14,485903
senya,Koakuma Apple (EUROBEAT Remix),157,10,3,44300
Roselia,MIIRO,195,2,3,1002819
ALI,LOST IN PARADISE feat. AKLO (TV Size),122,3,2,1284215
ChouCho,Yasashisa no Riyuu (TV Size),177,3,3,49387
ASIAN KUNG-FU GENERATION,Re:Re:,155,3,3,426693
flumpool,Chiisana Hibi (TV Size),123,3,3,1139396
Roselia,This game,147,2,3,749557
Hanazawa Kana,Meiwaku Spectacle (TV Size),157,3,3,155039
xi,Blue Zenith,200,10,5,292301
Tominaga Tommy Hiroaki,JoJo ~Sono Chi no Sadame~,146,3,3,759176
Sayuri,Tsuki to Hanataba (TV Size),175,3,3,816867
Halozy,Snow Changes to a Beat Again,131,10,5,387335
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,3,3,921889
Jason Paige,Pokemon Theme (TV Size),145,3,2,1558943
Mrs. GREEN APPLE,Ao to Natsu,185,5,3,813452
Ayane,FaV -F*** and Vanguard-,190,2,3,452690
Lonely God,Marlboro Nights,176,5,2,1854244
Sasaki Eri,Ring of Fortune (TV Size),158,3,3,1338117
sakuzyo,Scattered Rose,180,2,5,319300
Rameses B,Mountains (Ft. Veela),175,10,2,303129
Baracuda,La Di Da (Nightcore Mix),162.5,10,2,17852
Amatsuki,Outer Science,195,10,3,134767
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,652412
bj.HaLo,Ende,200,2,5,188401
MAKOOTO,Tanukichi no Bouken,132,10,5,1357570
FLOW,COLORS,136,3,3,730452
t+pazolite,cheatreal,200,10,5,88180
kamome sano Electric Orchestra,FIN4LE ~Shuushisen no Kanata e~,256,2,5,1518662
Chihara Minori,Kyoukai no Kanata (TV Size),184,3,3,1660535
Goose house,Hikaru nara -TV size-,160,3,3,223180
ONE OK ROCK,Answer is Near,188,4,3,63112
Machico,fantastic dreamer(TV-size),185,3,3,483175
blue drops,Heart no Kakuritsu (TV Size),157,3,3,60524
BoA,MASAYUME CHASING (Speed Up Ver.),150.89,3,3,214667
HOYO-MiX,Devouring Snake,160,10,5,1722821
"Hikasa Youko, Uchida Maaya, Taketatsu Ayana, Akesaka Satomi",Gokujo. no Jouken (TV Size),180.2,3,3,953015
Hatsune Miku,NEVERLAND,190,4,3,19868
LiSA,Gurenge feat. Un3h [ dj-Jo Remix ] TV Size,135,10,3,1400050
Toby Fox,Beginning,138,2,5,1055790
Cres,End Time,180,2,5,36382
TERRA,EDEN,200,2,3,810279
yuikonnu & ayaponzu*,Super Nuko World,190,4,3,153776
Ke$ha,Backstabber,160,5,2,1718408
Drop,Granat,180.96,6,5,1717564
yanaginagi,Haru Modoki,174,3,3,763695
SMiLE.dk,GOLDEN SKY,135,2,2,749378
Satoshi (CV:Matsumoto Rica),XY&Z,254,3,3,442618
Coalamode.,Nanairo Symphony -TV Size-,155,3,3,488149
Rin,Lunatic set 15 ~ The Moon as Seen from the Shrine,128,2,5,968232
Goose house,Hikaru nara -TV size-,160,3,3,223871
fripSide,dual existence (TV Size),171,3,3,1447905
MindaRyn,Like Flames (TV Size),175,3,2,1515599
Mercy X,Caught Fire (feat. Ashley Lawless) (Cut Ver.),150,10,2,921053
Katakiri Rekka & Suzuyu,Girl meets Love (Short Ver.),185,2,3,1344930
Masayoshi Minoshima feat. nomico,Bad Apple!!,138,2,3,18260
Warak,REANIMATE,174,2,5,209103
Station Earth,Cold Green Eyes ft. Roos Denayer,174,10,2,371128
League of Legends,Hanami ON THE RIFT (PV ver.),172,2,5,695308
Drop,Granat,180.96,6,5,501992
Yousei Teikoku,Kyouki Chinden (TV Size),280,3,3,59025
Brad Breeck,Step Off Playa,140,4,2,1539675
Gram vs. Yooh,Apocalypse,234,10,5,1816401
ChouCho,Haiiro no Saga (TV Size),184,5,3,1318691
+Plus,Fiesta,140,3,3,81557
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,3,3,342896
Brian The Sun,Lonely Go! (TV Size),204,3,3,863227
