art,t,bpm,g,ln,s
Rizuna,Ichigeki Hissatsu Wo Ai Ni,176,2,3,46549
Mili,Summoning 101,186,4,2,1959023
Megumi Hayashibara,Infinity (TV Size),145,3,3,14337
Capcom Sound Team,Kamura Harae Uta,78,13,3,1424262
Horie Yui,silky heart,135,3,3,1258444
Sachika Misawa,Links (TV Size),149,5,3,1299243
sumika,Honne,158,5,3,1520068
nano.RIPE,Gekka,172,3,3,103094
Tamura Yukari,Sparkling * Traveler,174,2,3,676998
monetochka,poslednyaya diskoteka (prod. vitya isaev),110,5,12,871964
Hana,Ever After School (Short Ver.),81,5,3,1767291
Early Eyes,Marigolds,133,5,2,1638064
Tiara,SEAHOLLY,130,10,3,98262
DJ YOSHITAKA feat. G.S.C. license,NIJIIRO,160,2,2,15097
Takagi-san (CV: Takahashi Rie),Karakai Jouzu no Takagi-san Compilation,120,3,3,761718
Hibiki Sakura (CV: Fairouz Ai) & Naruzo Machio (CV: Ishikawa Kaito),Onegai Muscle (TV Size),132,3,3,1663114
Fujikawa Chiai,Kimi no namae (TV Size),81,3,3,991056
ELECTROCUTICA,Dependence Intension,130,10,3,1402842
Gitti & Erika,Heidi,116,3,8,408864
Bermei.Inazawa & Urbatronic Chopsticks,Melody,188,2,6,10410
Hitoshi Sakimoto,Something Green,130,2,5,28501
TERRA,DoLL,170,2,3,11478
NieN,Leave me Alone,236,2,2,25671
Eminem,Not Afraid,172,9,2,16892
Higurashi TV Character Song,Hanyuu Nanodesu -remix-,140,3,3,2798
cYsmix,Manic,150,2,5,362460
HTT,Girls in Wonderland,235,3,3,27044
Mohombi,In Your Head,187.8,5,2,50273
Haloweak feat. AKINO with bless4,What am I fighting for?,175,2,2,734194
EVO+,Aquila,175,4,3,1107531
Arata Iiyoshi & Atsuhiro Ishizuna,Kyuujo Kichi,129.25,2,5,425912
IOSYS,Shining Grace,180,2,3,66372
The Knocks,Classic (feat. Powers),102,5,2,322963
Nobuo Uematsu,Calm Before the Storm,85,2,5,145169
Neko Hacker,Shadows feat. Such,170,5,3,1767514
"Shinji Orito , Magome Togoshi",Nagisa~Saka no Shita no Wakare,100,3,3,6882
Trial & Error,Hoshizora Touhikou feat. Hatsune Miku,76,6,3,747331
Cutline,Die For You (Shock One Remix),175,10,5,166435
K:Te,Ur-Style,120,5,3,63426
Weird Al Yankovic,Hardware Store,126.33,7,2,2042
NANA,Kono Hi no Mama de,74,5,3,1759096
Hatsune Miku,Chaining Intention,140,5,3,18932
Thaehan,12151109,160,4,5,1051408
rN,My Dearest Nightmare,231,10,5,1542543
Coconatsu,Ronron e Rairairai!,156,2,3,1300739
Thymeka,Love is War (Italian Version),175,4,11,23793
Megpoid GUMI,Yume Chizu,176,4,3,31409
ZUN,Walking the Streets of a Former Hell,153,2,5,13469
Chata & Shimotsuki Haruka,Isshun no Qualia,95,5,3,1171326
CCTV,Believe in the power of the brand,75,6,5,238992
LiSA,Shirushi,73,3,3,248979
Windbell,Flow of Life (TSAR / Tu Zi ST Remix),138,10,2,1179243
Amatsuki,Hoshi no Komoriuta,160,5,3,928852
La Roux,Cover My Eyes,108,5,2,8808
Shimotsuki Haruka,Tsubasa o Motanai Shoujo,67.33,2,3,883825
Donkey Kong Country,The Mirror Never Lies,131.28,7,2,3961
Captain Jack feat. The Gipsy Kings,Get Up,133,5,2,24081
Drake Bell,Unbelievable,110,5,2,50365
MY FIRST STORY,Shissou FLAME,210,4,3,749327
Sound Souler,Bubble Flower,192,10,5,1152177
Nico Nico Douga,Accelerator Heaven,149,7,5,28900
tieff,Take Your Swimsuit,168,10,5,940597
SOMI,What You Waiting For,122,5,6,1236230
binaria,Nachtflug,170,5,3,1781523
Tanaka Rie,EMOTION,155,3,3,10173
Laur feat. Sennzai,Seclusion,175,10,3,1565487
leroy,the dariacore to YTP pipeline,193,10,2,1536850
You May Kiss The Bride feat. Fatma Turgut,Bensiz Bir Sen,160,11,14,1532040
dj-Nate,Clubstep,128,10,5,1857624
R.E.M.,The One I Love,127.53,4,2,492850
LCA,Sayo Shigure no Uta,155,13,5,1217015
Co shu Nie,asura,180,4,3,1122590
SymaG,Hope,140,11,3,735814
Marina Rios,Fukashigi no Karte,96,3,3,919348
MARIA,Deep into You,80,5,3,378332
remixed celas vs 44teru-k,CONNECT r,175,2,5,53574
Yasunori Mitsuda,Corridors of Time,111.88,2,5,34756
Jolin Tsai,Dancing Diva,124,5,4,43962
dj TAKA remixed by Ryu,Abyss -The Heavens Remix-,171,2,5,9019
Drake Bell,Makes Me Happy,160,4,2,46672
Two Door Cinema Club,Do You Want It All,153.98,4,2,38474
Krfawy,Kac (TV Size),112,10,5,273355
Megpoid GUMI,Blue Bird,122,5,3,14607
Suzuyu,Natsuzora no Hikari,64.66,2,3,860483
Halou,Honeythief,76,4,2,1044351
SHIKI,Mercury Lamp,147,2,5,23169
Lady Gaga,"Eh, Eh (Nothing Else I Can Say)",94,5,2,51750
T-ara,Bye Bye,130,5,6,88958
Michiko Naruke,Ancient Civilization Exhibition,115,2,5,8228
capitaro,Utatabigarasu,200,4,3,59982
Nakagawa Shouko,Happily Ever After,180,3,3,17550
onoken,BIOTONIC,175,2,5,919719
+Plus,Canvas,112,3,3,52372
Itou Kanako,F.D.D. (TV Size),165,3,3,9122
sakuraburst,GLASS RIVER,126,10,5,1061218
Rin,Amanojaku set 03 ~ Romantic Escape Flight,128,2,5,1022358
UNDEAD CORPORATION,Yume,89,2,5,1161067
Ariana Grande feat. Iggy Azalea,Problem,103,5,2,1679370
ChouCho,Haiiro no Saga (TV Size),184,5,3,1275733
Kujira,Kinmokusei (feat. Ado),123,5,3,1679541
M2U,Gypsy Tronic,125,2,5,100445
Jimmy Thumb P,Reboot,152,6,3,69354
Kalafina,heavenly blue,157,3,3,780962
Aoba Ringo,Testament of Judgment (Short Ver.),159.91,2,3,47079
Duck Sauce,Barbra Streisand,128,10,5,26197
Anna,Lucky Tune (TV Size),132,3,3,6315
Perfume,Vitamin Drop,155,5,3,8009
Okean Elzy,Ne tvoya viyna,91.4,4,14,507774
Jin ft.Lia,days [short ver.],96,3,3,173453
FELT,BRIGHTEST WAY,157,2,3,304022
Dia Frampton,Billy the Kid,124,5,2,59794
Smash Mouth,Pacific Coast Party,122.25,4,2,614
Reol,FLASH BACK,140,10,3,409397
Perfume,Nee,128,5,3,914045
Yasutaka Nakata,Crazy Crazy (feat. Charli XCX & Kyary Pamyu Pamyu),125,10,2,972538
JAZ,Dari Mata,110,5,14,603085
Mizuki Nana,Shin Ai,133,3,3,8645
Shimatani Hitomi,Destiny,146,5,3,5933
hitomi,Go My Way,174.77,5,3,661
S.S.D.Fantasica,Hanafubuki,150,2,3,3912
Seizi Kimura,felt,123,3,3,231673
Paramore,Brick By Boring Brick,165,4,2,13732
Chata,Dream Tide -Yume no Chouryuu-,141,2,3,40996
Pory,Turn A,152,2,6,8331
Porno Graffitti,Apollo,189.85,5,3,60904
Kaneko Chiharu,iLLness LiLin,280,10,5,634147
Taylor Swift,I Knew You Were Trouble,154,5,2,80399
Dareharu,Karma,132,10,6,1478859
cYsmix,Abandoned Shrine Party,128,10,5,1267252
ARM,Streak,150,10,5,76523
Touhou Vocal BGM,Phantom Liberation,173,2,3,4391
Various Artists,Ai to Jouzai no Mori,210,13,3,1037879
Emmelie De Forest,Only Teardrops,111,5,2,93923
Backstep & HeatKai,Holy Night,110,3,3,285850
Mimu,*Tear*,128,5,3,14224
bill wurtz,diamond,105,5,2,1689393
Magome Togoshi,Etude Pour les Petites Supercordes,109.9,6,5,37500
TO-MAS feat. Chima,FLIP FLAP FLIP FLAP,117,3,3,537310
LEAF XCEED Music Division,Dear You [ver. XCEED],70,2,5,951890
Hirahara Ayaka,Hajimari no Kaze (TV Size),112,3,3,1266172
Three Days Grace,Break,115.49,4,2,22360
MIN,Em Moi La Nguoi Yeu Anh (Acoustic Version),94,5,14,861890
Official HIGE DANdism,Cry Baby (TV Size),100,4,3,1959410
La Cataline,Helical,128,10,5,16761
Miyuki Hashimoto,Aoitori,115.01,2,3,670502
DECO*27 feat. topi,Light Lag,180,5,3,130583
DJ Earworm,DECADE OF POP,126,5,2,1075546
Sia,Everyday Is Christmas (Cut Ver.),148,5,2,1641842
Said The Sky,Change Your Mind (feat. Vancouver Sleep Clinic),71,10,2,1014338
07th Expansion,Birth of New Witch (Instrumental),184,3,5,27852
Lee Jung Hyun,Ari Ari,144,5,6,11167
SPLAY,Drawing Days (TV Size),175.98,3,3,8838
La Cataline,Helical (remix),140,10,5,95716
Kano,Haruzion,160,5,3,875533
Mindless Self Indulgence,You'll Rebel To Anything,203,4,2,2597
WalnutFaceBrand,C-O-C-A-I-N-E,178.26,7,2,5823
t+pazolite feat.,Okkusenman (Hardcore Mix),180,7,3,303
NateWantsToBattle,IN MY WORLD,190,3,2,1153093
Bratisla Boys,Stach Stach,159.97,5,14,23119
Ogura Yui,Clear Morning,103,2,3,1734681
Eagle,S!ck,177,2,5,84014
Countess Coloratura (CV: Lena Hall),The Spectacle,130,10,2,1530898
Asahi Atsuko,Wild Woods,200,2,5,1551755
Sound Horizon,Utsukushiki Mono,88.01,5,3,372604
Becky,Less Than Three (Radio Mix),160,7,2,6133
Demetori,The Grimoire of Alice ~ Alice in Wonderland,175,2,5,277279
stellatram,METHOD_HYMME_LAIDERONETTE/.,200,13,3,1992686
Gunther,Sun Trip (Summer Holiday),132,5,2,7954
Ouse Tsubame (CV: Takeda Mariko),Metroporitan medicine ~Uchuu no Housoku de TOKYO~,120,5,3,748191
Ichinose Go,Mishiro Town,107,2,5,967778
Pierrot,The Rose-Colored World,167.92,3,3,13799
yuikonnu & ayaponzu*,Happy Halloween,120,5,3,692433
Silk Sonic,Leave the Door Open,148,5,2,1775381
Hidamari Sketch Cast,Dekirukanatte***,192,3,3,12021
Ceui,Asphodelus (Short Ver.),160,13,3,1997340
DE DE MOUSE,Silly Love,153,10,5,1494548
yuinishio,Iki o Suu Koko de Suu Ikiteku (TV Size),100,5,3,1656135
Glaring Radiokids,chilblain,196,4,2,1453966
qinche,Qing Ming Shang He Xiao,110,13,4,41894
Triodust,Rabi Rabi Park,105,2,5,873401
Hitomi Harada,eternal feather,135,2,3,297565
Yu-Peng Chen @HOYO-MiX,Contemplation in Snow,135,10,5,1442494
Yui Horie,Love Destiny,140,3,3,9066
Haruka Tomatsu,Baby Baby Love (TV Size),134,3,3,23589
in love with a ghost,trans rights,120,10,5,1776686
*namirin,Irodori Sora,140,5,3,1182288
kessoku band,Seiza ni Naretara (TV Size),123,4,3,1919446
Reol,Syrup,52,5,3,485597
glass beach,bedroom community,135,4,2,1080104
Paramore,Playing God,138,5,2,23052
Rita,CRISIS BEAT,145,2,3,22748
Falcom Sound Team J.D.K.,Determination of Fight,152,2,5,15479
Taketatsu Ayana,Innocent Notes (TV Size),178,3,3,951339
Seal,Kiss From a Rose,131.69,5,2,39825
T.M.Revolution,SWORD SUMMIT (TV size),170,3,3,18445
Keitaro Takanami,Dark Chii Theme (Fuuma Dialogue Mix),140,3,3,7350
Araki x nqrse x Meychan,Odo,128,5,3,1545055
MitiS,1.16.2016,64,10,5,395978
Unknown Artist,PROJECT X ZONE (US Opening),130,2,5,1341769
EMA,No pain,82.5,5,3,1348226
Funta,Kao Dekai,169,3,3,4535
Serebro,Breath,170,5,12,27782
Sharlo,ebb and flow,106,3,3,167058
Kano,Hikari no Michishirube (TV Size),85,3,3,1073862
100 gecs,"ringtone (remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",107,10,2,1117775
Bomba Estereo,To My Love (Tainy Remix),100,5,10,812804
Annabel,Tenohira no Rakuen,153,2,3,13642
zts,Captain Murasa,140,2,5,53342
Marina and The Diamonds,Homewrecker,133,5,2,341520
AiRI,Dreamer (TV Size),168,3,3,54841
Brandy,Visual Dream !!,140,2,2,13956
Red Pulse,Go Hell,145,2,6,8736
Liverne,Beloved Tomboyish Girl,140,2,5,7683
Katakiri Rekka,Tamayura,160,3,3,4041
Selphius,Blade of Hope (Another Version),188,10,8,1386486
Nakae Mitsuki,Saigo no Yume,73,4,3,1066459
isui,Oyasumi Monochrome,138,5,3,1806130
Terry S. Taylor,Triangle Square,118.37,2,5,6527
K'naan,Wavin' Flag,152,6,2,13975
Yohane (CV: Kobayashi Aika),Far far away (TV Size),122,5,3,2017463
Yuuki Aoi,PLATINUM (Short Ver.),164,3,3,64967
Aiobahn,Towa no Utage (w/ YUC'e),126,10,3,844048
eufonius,Metro Chrome,120,5,3,12154
Mitsuda Yasunori,Peaceful Days,87.46,2,5,931337
Miracle Chimpanzee,Mabataki (TV Size),115,5,3,1688067
Clairo,Bags,105,5,2,1356338
XXXTENTACION,I Don't Wanna Do This Anymore,114.28,5,2,746419
Lady Gaga,Bad Romance [Christmas Version],119,5,2,700788
Relient K,I'm Getting Nuttin' For Christmas,160,4,2,11282
3oh!3,Richman,162,5,2,4756
The Flashbulb,Dead On The 4th Of July,125,10,5,347882
Adamusic,WAP x Toxic,140,5,2,1369551
Rica Matsumoto,Best Wishes! (TV Size),159.97,3,3,20668
supercell,Utakata Hanabi (TV Size),84,3,3,17573
Kano,Merry Merry album ver.,89,6,3,166596
Demetori,Jehovah's YaHVeH,220,2,5,9641
Dia Frampton,Good Boy,111,5,2,49380
Cat Nap,Beyond,103,10,5,906820
Asakura Momo,Hana ni Akai Ito,170,3,3,979061
sakuraburst,Glacierfall (Park Remix),170,10,5,1315340
Round Table feat. Nino,Natsu Machi (TV Size),81,3,3,46265
Beverly,Again (TV Size),65,3,3,954840
kurtains,boss (ceo),108.69,9,2,1414274
FELT,START,175,5,3,1680741
SILENT SIREN,Days.,163,5,3,769492
Hi!Superb,Happy Life Spectacle (TV Size),155,3,3,880475
HOYO-MiX,Surasthana Fantasia,168,2,5,1884753
Fujita Saki,Golden Day (TV Size),130,3,3,72805
My Chemical Romance,I'm Not Okay (I Promise),179.8,4,2,2184
USAO,ZED,190,10,5,932235
ZAQ,Kimi no Tonari ni,79,3,3,73903
Tenpei Sato,Laharl-sama no Sanbi Ka?,91,2,5,298969
Tsukasa & ESTi,Relation Again,135,2,5,43292
Look Vibrant,Sweater In The Lake,155,4,2,1097306
Cat System Corp.,Scuba Diving,105.57,6,5,895579
Brian Tyler,Formula 1 Theme,100,12,5,1747832
Yoneya Jun,Mizuiro Jidai (TV Size),117,3,3,1697040
Akie,Ama no Jaku Piano ver.,69.02,12,3,1017732
Rita,reach for the runway,172,2,3,48826
Cool Joke,UNDO,171,3,3,11233
Kondo Akihisa,Black Night Town (TV Size),182,3,3,892003
Camellia feat. Luschel,Night Fog,150,10,2,1242304
Karen from BEST FRIENDS!,Ai de Afurete Iru,92,5,3,2016750
Yorushika,Spring Thief,125,4,3,1642142
S Club 7,Bring It All Back,108.08,5,2,8127
Michael Jackson,Man In The Mirror,50.16,5,2,12405
Taketatsu Ayana,Koi no Shirushi,165,3,3,33784
Porno Graffitti,Music Hour,135,5,3,608
Feint,Laurence,174,10,5,997556
canoue,Tsumetai Mori,112,13,3,1033889
FREENOTE,Kirai Tune,172.09,3,3,5472
Chen Yue,Luan Hong (Short Ver.),114,13,5,36313
Ether,Yami to Kagaribi,180,4,3,1910934
Air,Surfing on a Rocket,157.92,10,2,20067
nathin,broken hopes,110,10,2,879695
Amamiya Sora,Tsuki Akari,91,3,3,974539
Yin Pin Guai Wu,Bai Gui Ye Xing,180.17,6,4,37339
Duca,Clearly (Short Ver.),137,2,3,1104252
Zerotickholic,Kakurenbo,151,4,3,1578434
Sakuzyo,FAFNIR,145,10,5,777255
Hoshizaki Iria,Private Sky,162,2,3,180461
Chihara Minori,Paradise Lost (TV Size),165,3,3,6557
GARNiDELiA,MIRAI (TV Size),80,3,3,326765
Ray,lull ~Soshite Bokura wa~ (TV Size),133,3,3,123893
The Ting Tings,Fruit Machine,168,5,2,7348
Kan R. Gao,Lullaby (Main Theme),127,2,5,480898
HO-KAGO TEA TIME,Pure Pure Heart (TV Size),154,3,3,16577
Shimizu Kaori,Default Joshikousei Nyan,160,3,3,2258
Wario Ware,Dribble and Spit'z highway jazz,128.78,2,3,1918
Fujisawa Yoshiaki,Overture,182,13,5,1820383
Takagaki Ayahi,China Kibun de High Tension!,160,3,3,12107
Asumi Kana,Hanagonomi TVsize ver.,111,3,3,183351
Ryu*,in the Sky,180,2,5,15978
miss A,"Bad Girl, Good Girl",136,5,6,1266796
Kalafina,Yume no Daichi,146,5,3,468807
BoA,Everlasting,74,5,3,83264
May'n,Kimi Shinitamou Koto Nakare (TV Size),170,3,3,12157
Yoon Mirae,ALWAYS,129.9,5,6,428156
"Shinobu (CV: Ootsubo Yuka), Miyako (CV: Amamiya Sora)",Motto! Futari no Par~ty~Night,222,5,3,1906220
Kalafina,Eden,140,5,3,476410
HOYO-MiX,Lotus of Haftkarsvar,92,13,5,1910088
Lil Baby x Gunna,Drip Too Hard,112.5,9,2,1179995
Hatsune Miku,Star Story,140,10,3,23640
Britney Spears,Piece Of Me,115,5,2,3868
Tsukimiya Midori,Sugao,123,3,3,30184
"NicoNico Chorus, Megurine Luka",Just Be Friends,128,5,3,8320
Kinomi Hijiri,Harukaze Balloon,91.99,2,3,41800
Shimotsuki Haruka,Fuyumidori (TV size),93,3,3,164746
"Hitomi Sato, Junichi Masuda",Battle! Gym Leader,180,2,5,6066
Lia,Life is like a Melody -short ver.-,140,2,3,16578
Buono!,Kokoro no Tamago,128,3,3,2482
Yuka,Flower of Fortune,170,2,3,14907
Sta,Platinum,100,2,5,775386
mimimemeMIMI,Shiroi Tori,74,5,5,707085
Gojou Kai,Ultimate Truth,160,2,5,4077
TKDz2b,Never Say Never (TV Size),128,3,2,106352
Aoyama Misao,Kimi no WIND SONG,134,3,3,81924
"25-ji, Nightcord de. x Hatsune Miku",Jishou Mushoku,120,5,3,1864996
YURiKA,Kyoumen no Nami [Orchestra Ver.],87.5,3,3,764481
Kagura Mea,Kikoemasu ka,126,5,3,975467
FELT,COLORS,167,2,3,1280750
M2M,Don't Say You Love Me,97.52,5,2,14187
POLKADOT STINGRAY,ICHIDAIJI,142,4,3,1230500
Dave Rodgers,Final Countdown,154.41,3,3,5658
AZUMA HITOMI,Harinezumi (TV Size),128,3,3,36367
Ninja Sex Party,Africa,93,4,2,1337088
WALKUERE,NEO STREAM,148,3,3,826599
Lemon Demon,The Ultimate Showdown of Ultimate Destiny,114,7,2,140
Trauma Center: New Blood,Opening,79.99,2,5,2008
rionos,Viator,64,3,3,846302
Monkey Majik,Sunshine (TV Size),99.85,3,3,88620
07th Expansion,dreamenddischarger,140,2,5,29886
Wisp X,Mint,96,10,5,755188
STYLE FIVE,FUTURE FISH (TV Size),163,3,3,506043
Koven,Give You Up,174,10,2,1666345
Klaus Badelt,He's a Pirate,140.74,7,5,2587
Mars Argo,Using You,107,5,2,531433
Hinoi Team,Emoticons,153,3,3,29
Shikata Akiko,Wokashi,155,13,3,1233709
Marianas Trench,Celebrity Status,164,4,2,121830
Ellie Goulding,Love Me Like You Do,95,5,2,280639
The Paws Element feat. Lomtik,Pesnya o dobrote (Cut Ver.),150,4,12,1681612
solfa feat. Shimotsuki Haruka,Mahoroba no Yume,73,2,3,1157280
ClariS,CLICK (TV Size),135,3,3,143387
SOUND HOLIC,Mayonaka*Sukaidaibu,172,2,3,19826
Elfen Lied,Lilium,112,3,3,3631
Shimamiya Eiko,Naraku no Hana,109,3,3,9720
07th Expansion,worldenddominator,142,2,5,57032
Suara,Koiyume,73,5,3,1379890
YUNG BAE,Sailor Babe,127,5,3,754281
Yuya Matsushita,Trust Me (Short Ver.),98.02,3,3,17475
Igorrr,Double Monk,200,6,5,180657
D-51,Famiglia (TV Size),90,3,3,54090
7!!,Orange (Anime Ver.),86,3,3,346717
S3RL x LIDA,My Girlfriend is a Raver,175,10,12,1511331
VINXIS,Facade,198,10,5,1001625
Mrs. GREEN APPLE,Boku no Koto,160,5,3,1172658
HO-KAGO TEA TIME,Our MAGIC,154,3,3,19251
Massive New Krew,Bullshit,160,10,5,1829152
Rocketship,Your New Boyfriend,152,5,2,1460323
Jay Chou,Mai Ya Tang,95.4,5,4,132303
keeno,alternate,82,4,3,358685
Cui Hua Bu Tai Cui,Ru Guo,92,5,4,1416612
Becca,I'm ALIVE! (TV Size),175,3,2,11628
BTS,Butterfly (Prologue Mix),75,5,6,515968
The Beatles,"Here, There And Everywhere",82,4,2,1443770
Chitose Sara,Shiawase no Mirai,184,5,3,1857695
Nico Nico Douga,Misaka Odoru,113,3,3,10891
Muse,Undisclosed Desires,116,4,2,9672
Tomatsu Haruka,Yume Sekai (TV Size),81,3,3,145391
Antonia,Marionette,91,5,2,42304
Yu-Peng Chen @HOYO-MiX,Qilin's Prance,154,10,5,1662072
Zips,Reiwai Terrorism,280,4,3,1092496
Unknown Artist,Onna no ko no Skirt ga Totsuzen Mekuretari Shinai Kana,130,6,3,89166
Delta Sleep,Interlude,75,4,5,786322
The Bobo's,Quinoa,123,6,7,338873
Sound Souler,Funky Life,130,6,5,1139959
Hanazawa Kana,Meiwaku Spectacle (TV Size),157,3,3,920592
27.4beats,a zavtra ty uydyosh',120,10,5,307089
Shihoko Hirata,Pursuing My True Self,119,2,2,28257
Ling Tosite Sigure,abnormalize (TV edit),175,3,3,77628
Mayoi Hachikuji (Emiri Kato),terminal terminal,102,3,3,655597
JIN,Ayano no Koufuku Riron,86,6,3,973701
Wisp X,Somewhere I'd Rather Be,96,10,5,1255411
Inoue Bona,Usouso Doki,160,5,3,1873349
BJJ,First Kiss,107,2,6,7075
Hunnid-P,A Ghost's Pumpkin Soup,90,2,2,859181
Nakae Mitsuki,Alchemia ~Short Ver.,160,2,3,888833
Pussycat Dolls feat. A.R. Rahman,Jay Ho!,136.22,5,2,6971
Marisa De Lille,Luna Legendaria,139.55,3,10,23885
NIVIRO,Memes (Speed Up Ver.),143.35,10,5,776928
Kazumi Totaka,Mii Plaza,114.2,2,5,375668
Itou Kanako,Toaru Ryuu no Koi no Uta,149.97,2,3,14244
fhana,Hoshi o Atsumete,125,3,3,1108679
Sasaki Eri,Fuyu Biyori,110,3,3,847690
Misawa Aki,samsara,88,2,3,808482
Emilia (CV: Rie Takahashi),Door,76,5,3,1705082
Mariya Ise,Nadeshiko Romance (TV size),116,3,3,14117
platoniX,Don't be afraid myself,165,2,3,30865
mican*,Lotus Road,140,2,3,9581
Icon For Hire,Supposed To Be,100,5,2,872150
Ichijo,Roulette Roulette,121.6,3,3,10886
Metro Station,California,170,5,2,5641
Kawasaki Yasuhiro,Let's!,182,6,5,1407182
Roromiya Karuta (CV: Hanazawa Kana),sweets parade,206,5,3,1899333
Rin,Eientewi set 13 ~ Extend Ash,138,10,5,1262466
Buono!,Winter Story,169,5,3,40425
Ishiwatari Junji & Sunahara Yoshinori + Yakushimaru Etsuko,Kamisama no Iu Toori (TV Size),112,3,3,1030289
*Luna feat. Yuaru,Lazurite,108,4,3,1133005
Nekomata Master,Far east nightbird,180,2,5,29538
Lily Allen,Not Fair,121.5,5,2,7030
Magical Trick Society,Examination ~ Allegro,161,2,5,129
Zebrahead,His World,200,2,2,14681
AKB48,Kokoro no Hane (TV Size),136,3,3,15591
Sailor Moon - Animetal,Moonlight Densetsu (Metal Version),164.98,3,3,2189
Ken Nakagawa,Try,105,2,5,92107
ShinRa-Bansho,MY Heart Rate,102,5,3,1237886
Michiru Kagemori (CV: Morohoshi Sumire),Ready to (Mokelmbe Bootleg),145,10,3,1245436
REAPER,HEATSEEKER,174,10,5,1739056
Studio EIM,WhereverYouAre,62.5,2,5,180286
Sanshuu Chuugaku Yuushabu,Aurora Days (TV Size),89,3,3,926278
Rachel (CV: Chisuga Haruka),Pray (TV Size),80,3,3,810200
Ryo Yoshimata,Resolver,126,3,5,22650
CLC,Pepe,130,5,6,645032
keeno,wipe,92,4,3,111531
Mindless Self Indulgence,Stupid MF,152,4,2,14868
Hikaru Ichibanboshi,Natsume's Theme,104,2,5,29106
Sakamoto Maaya,Yakusoku wa Iranai (TV Size),159.78,3,3,26554
KanoeRana,1/2,130,5,3,1347840
Asumi Kana,Hanagonomi (TV Size),111,3,3,174248
sphere,Non stop road (TV size),175,3,3,546703
Post Malone,Hollywood's Bleeding,134,9,2,1462762
Mami Kawada,melty snow (Short ver.),99.75,2,3,300896
Savoir Adore,Dreamers,102.5,10,2,336770
sixtythree,I remember,90,6,5,346065
Guns N' Roses,Sweet Child O' Mine,130.25,4,2,22690
Dave Wise,Bayou Boogie,93.82,2,5,26901
David Wise,Flight of the Zinger,150,2,5,21306
Valeriede (CV: Tanaka Rie),VIII. THE FIRE,63.33,13,3,1964515
Chiaki Kuriyama,Ryuusei no Namida,140,3,3,13723
Rita,Aka no Sora,138,2,3,17746
Chorogons,Ishukan Communication,107.95,3,3,595314
Mili,Mortal With You (TV Size),92,3,2,1801100
FLOW,Steppin' out (TV Size),140,3,3,959011
Magome Togoshi,Kanojo no Honki,100,3,5,25715
Comp,Higashi no Kuni no Waltz,165,2,3,25352
One Draft,Wonderful Days (TV Size),108,3,3,24211
halca,Darekare Scramble (TV Size),150,3,3,1803693
Manaka Kataoka & Yasuaki Iwata,"Link no Kioku ""Eiketsu Mipha""",76,2,5,717232
Nishino Kana,Christmas Love,122,5,3,1067433
Marika,Sleeping Pretend,86,5,3,1925608
Arisawa Takanori,Victory ~ Theme of Virtue,74,3,3,81635
Yoko Takahashi,Zankoku na Tenshi no These,128.83,3,3,769703
Chata,Sora to Heikou ni Sou Kyokusen,168,5,3,1890591
DECO*27 feat. marina,Dummy Dummy,160,4,3,42438
Rita,Signal Heart,181,2,3,46754
Yorushika,Spring Thief,125,5,3,1348249
Haneoka Kei,Kokuhaku,118,3,5,958656
Koji Kondo,Dire Dire Docks,137.87,2,5,4629
Various Artists,Meditation,82,2,5,1250511
Rigel Theatre,Erlija Gate,124,13,3,1647145
Evanescence,My Immortal,149.77,4,2,30069
La Roux,Armour Love,71,5,2,8703
Pixel,Cave Story,108.66,2,5,2270
Seo Taiji,'07 Class Idea,170,10,6,9656
Yoshioka Aika,Hanabira no Toki,100,2,3,20216
"Hello, Happy World!",Goka! Gokai!? Phantom Thief!,215,2,3,708445
Girls' Generation,Echo,121,5,6,15683
Perfume,Inryoku,140,5,3,11833
Scatman John,Scatman,136.01,5,2,18
"Miyu Tomita, Mariya Ise, Shiori Izawa","Tabi no Hidarite, Saihate no Migite [Riko & Reg & Nanachi ver.]",91,3,3,680812
Aoba Ringo,Asgardh (Short Ver.),148,2,3,50112
Bob Summers,Moon Crystal Power,135.47,3,5,153153
Chata,Afraid,180,2,3,23252
Ayane,Endless Tears...,192,2,3,10128
"Iiyoshi Arata, Ishizuna Atsuhiro",Pokemon Kyuu Jotai no Thema,130,2,5,1091644
League of Legends,"Jhin, the Virtuoso",76,12,5,1139823
Mr.Kitty,Cross Cross,110,10,2,243197
Frederic Chopin,Fantaisie-Impromptu,114,12,5,17172
Ani,Ververg (feat. B),190,2,14,55328
David Wise,Stickerbrush Symphony,98.52,2,5,19610
-45,Reishiki,120,10,5,1557323
Salia,Trust,158,3,3,9498
Mizuki Nana,Ribbon no Onpu,124,3,3,13638
Feryquitous,I can avoid it.#owo,130,2,2,1157872
Milkychan,Lost In Thoughts All Alone,118.81,2,2,710531
Avril Lavigne,What The Hell,150,5,2,25419
Ayanami Rei (CV: Hayashibara Megumi),FLY ME TO THE MOON <Rei (#5) (TV Size) Remix Version>,118,3,2,1812001
Ikimono Gakari,Seishun Line,146,3,3,12982
Sakakibara Yui,Nyanderful! (TV Size),160,3,3,36760
Toni Ten,Tu ets el meu cor encantat,133.72,3,14,231024
We the Kings,Friday Is Forever,145,5,2,29206
